date,y
2015-07-22,1.035
2015-07-21,1.028
2015-07-20,1.016
2015-07-17,0.992
2015-07-16,0.935
2015-07-15,0.905
2015-07-14,0.962
2015-07-13,0.955
2015-07-10,0.891
2015-07-09,0.834
2015-07-08,0.783
2015-07-07,0.814
2015-07-06,0.873
2015-07-03,0.903
2015-07-02,0.946
2015-07-01,1.006
2015-06-30,1.053
2015-06-29,1.006
2015-06-26,1.083
2015-06-25,1.19
2015-06-24,1.255
2015-06-23,1.234
2015-06-19,1.209
2015-06-18,1.275
2015-06-17,1.332
2015-06-16,1.305
2015-06-15,1.349
2015-06-12,1.39
2015-06-11,1.385
2015-06-10,1.365
2015-06-09,1.327
2015-06-08,1.324
2015-06-05,1.368
2015-06-04,1.361
2015-06-03,1.383
2015-06-02,1.389
2015-06-01,1.338
2015-05-29,1.268
2015-05-28,1.249
2015-05-27,1.317
2015-05-26,1.3
2015-05-25,1.261
2015-05-22,1.237
2015-05-21,1.223
2015-05-20,1.183
2015-05-19,1.17
2015-05-18,1.145
2015-05-15,1.13
2015-05-14,1.137
2015-05-13,1.149
2015-05-12,1.144
2015-05-11,1.111
2015-05-08,1.061
2015-05-07,1.021
2015-05-06,1.041
2015-05-05,1.039
2015-05-04,1.063
2015-04-30,1.045
2015-04-29,1.039
2015-04-28,1.012
2015-04-27,1.047
2015-04-24,1.048
2015-04-23,1.048
2015-04-22,1.048
2015-04-21,1.029
2015-04-20,1.001
2015-04-17,1.025
2015-04-16,1.012
2015-04-15,1.003
2015-04-14,1.037
2015-04-13,1.042
2015-04-10,1.038
2015-04-09,1.017
2015-04-08,1.031
2015-04-07,1.044
2015-04-03,1.023
2015-04-02,1.007
2015-04-01,1.0
2015-03-31,0.984
2015-03-30,0.983
2015-03-27,0.963
2015-03-26,0.945
2015-03-25,0.949
2015-03-24,0.941
2015-03-23,0.931
2015-03-20,0.905
2015-03-19,0.882
2015-03-18,0.891
2015-03-17,0.875
2015-03-16,0.873
2015-03-13,0.849
2015-03-12,0.84
2015-03-11,0.823
2015-03-10,0.823
2015-03-09,0.821
2015-03-06,0.809
2015-03-05,0.827
2015-03-04,0.832
2015-03-03,0.827
2015-03-02,0.846
2015-02-27,0.834
2015-02-26,0.824
2015-02-25,0.815
2015-02-17,0.827
2015-02-16,0.821
2015-02-13,0.809
2015-02-12,0.798
2015-02-11,0.795
2015-02-10,0.783
2015-02-09,0.77
2015-02-06,0.769
2015-02-05,0.777
2015-02-04,0.785
2015-02-03,0.793
2015-02-02,0.772
2015-01-30,0.784
2015-01-29,0.792
2015-01-28,0.799
2015-01-27,0.809
2015-01-26,0.818
2015-01-23,0.814
2015-01-22,0.813
2015-01-21,0.805
2015-01-20,0.772
2015-01-19,0.758
2015-01-16,0.792
2015-01-15,0.786
2015-01-14,0.764
2015-01-13,0.767
2015-01-12,0.762
2015-01-09,0.762
2015-01-08,0.757
2015-01-07,0.771
2015-01-06,0.773
2015-01-05,0.775
2014-12-31,0.76
2014-12-30,0.738
2014-12-29,0.741
2014-12-26,0.733
2014-12-25,0.714
2014-12-24,0.7
2014-12-23,0.71
2014-12-22,0.713
2014-12-19,0.718
2014-12-18,0.734
2014-12-17,0.737
2014-12-16,0.735
2014-12-15,0.726
2014-12-12,0.722
2014-12-11,0.72
2014-12-10,0.723
2014-12-09,0.699
2014-12-08,0.741
2014-12-05,0.739
2014-12-04,0.755
2014-12-03,0.746
2014-12-02,0.738
2014-12-01,0.731
2014-11-28,0.745
2014-11-27,0.752
2014-11-26,0.749
2014-11-25,0.746
2014-11-24,0.737
2014-11-21,0.732
2014-11-20,0.728
2014-11-19,0.729
2014-11-18,0.724
2014-11-17,0.722
2014-11-14,0.714
2014-11-13,0.714
2014-11-12,0.726
2014-11-11,0.718
2014-11-10,0.742
2014-11-07,0.742
2014-11-06,0.751
2014-11-05,0.744
2014-11-04,0.747
2014-11-03,0.753
2014-10-31,0.748
2014-10-30,0.752
2014-10-29,0.754
2014-10-28,0.747
2014-10-27,0.733
2014-10-24,0.727
2014-10-23,0.726
2014-10-22,0.733
2014-10-21,0.741
2014-10-20,0.745
2014-10-17,0.735
2014-10-16,0.735
2014-10-15,0.746
2014-10-14,0.745
2014-10-13,0.749
2014-10-10,0.751
2014-10-09,0.756
2014-10-08,0.758
2014-09-30,0.751
2014-09-29,0.745
2014-09-26,0.739
2014-09-25,0.736
2014-09-24,0.734
2014-09-23,0.727
2014-09-22,0.722
2014-09-19,0.729
2014-09-18,0.723
2014-09-17,0.72
2014-09-16,0.715
2014-09-15,0.74
2014-09-12,0.733
2014-09-11,0.721
2014-09-10,0.72
2014-09-09,0.716
2014-09-05,0.714
2014-09-04,0.709
2014-09-03,0.705
2014-09-02,0.702
2014-09-01,0.694
2014-08-29,0.685
2014-08-28,0.679
2014-08-27,0.683
2014-08-26,0.682
2014-08-25,0.691
2014-08-22,0.694
2014-08-21,0.69
2014-08-20,0.69
2014-08-19,0.691
2014-08-18,0.692
2014-08-15,0.689
2014-08-14,0.683
2014-08-13,0.691
2014-08-12,0.694
2014-08-11,0.695
2014-08-08,0.683
2014-08-07,0.681
2014-08-06,0.689
2014-08-05,0.687
2014-08-04,0.686
2014-08-01,0.68
2014-07-31,0.684
2014-07-30,0.678
2014-07-29,0.68
2014-07-28,0.678
2014-07-25,0.67
2014-07-24,0.664
2014-07-23,0.666
2014-07-22,0.671
2014-07-21,0.663
2014-07-18,0.662
2014-07-17,0.663
2014-07-16,0.666
2014-07-15,0.67
2014-07-14,0.672
2014-07-11,0.664
2014-07-10,0.661
2014-07-09,0.663
2014-07-08,0.673
2014-07-07,0.671
2014-07-04,0.673
2014-07-03,0.674
2014-07-02,0.672
2014-07-01,0.67
2014-06-30,0.671
2014-06-27,0.665
2014-06-26,0.663
2014-06-25,0.657
2014-06-24,0.658
2014-06-23,0.653
2014-06-20,0.652
2014-06-19,0.646
2014-06-18,0.656
2014-06-17,0.659
2014-06-16,0.667
2014-06-13,0.665
2014-06-12,0.659
2014-06-11,0.66
2014-06-10,0.66
2014-06-09,0.654
2014-06-06,0.657
2014-06-05,0.657
2014-06-04,0.652
2014-06-03,0.654
2014-05-30,0.655
2014-05-29,0.655
2014-05-28,0.661
2014-05-27,0.657
2014-05-26,0.659
2014-05-23,0.653
2014-05-22,0.649
2014-05-21,0.647
2014-05-20,0.642
2014-05-19,0.639
2014-05-16,0.644
2014-05-15,0.649
2014-05-14,0.656
2014-05-13,0.655
2014-05-12,0.656
2014-05-09,0.646
2014-05-08,0.651
2014-05-07,0.653
2014-05-06,0.662
2014-05-05,0.657
2014-04-30,0.652
2014-04-29,0.649
2014-04-28,0.642
2014-04-25,0.657
2014-04-24,0.669
2014-04-23,0.671
2014-04-22,0.677
2014-04-21,0.683
2014-04-18,0.689
2014-04-17,0.688
2014-04-16,0.687
2014-04-15,0.687
2014-04-14,0.694
2014-04-11,0.689
2014-04-10,0.691
2014-04-09,0.683
2014-04-08,0.679
2014-04-04,0.678
2014-04-03,0.674
2014-04-02,0.675
2014-04-01,0.679
2014-03-31,0.668
2014-03-28,0.667
2014-03-27,0.681
2014-03-26,0.695
2014-03-25,0.688
2014-03-24,0.688
2014-03-21,0.69
2014-03-20,0.688
2014-03-19,0.716
2014-03-18,0.724
2014-03-17,0.72
2014-03-14,0.707
2014-03-13,0.712
2014-03-12,0.697
2014-03-11,0.695
